;E85;Diesel;BF95
2023-02;16,4;22,95;19,83
2023-01;15,58;24,17;19,84
2022-12;14,71;23,64;18,89
2022-11;15,73;25,56;20,42
2022-10;16,34;27,6;21,57
2022-09;17,05;24,21;19,06
2022-08;17,29;24,44;19,76
2022-07;19,56;25,25;21,61
2022-06;20,57;26,37;23,54
2022-05;18,7;23,73;21,52
2022-04;18,63;24,86;21,01
2022-03;18,95;25,18;21,31
2022-02;16,31;21,75;19,36
2022-01;16,35;20,83;18,34
2021-12;17,33;18,9;17,36
2021-11;18,61;19,22;18
2021-10;15,54;19,17;17,72
2021-09;13,6;17,95;16,83
2021-08;12,7;17,51;16,67
2021-07;12,7;16,83;16,64
2021-06;12,52;16,54;16,21
2021-05;12,1;16,16;15,9
2021-04;11,24;15,88;15,77
2021-03;11,87;15,98;15,66
2021-02;11,31;15,61;15,1
2021-01;11,22;15,01;14,56
2020-12;11,38;14,35;14,12
2020-11;11,52;14,01;13,89
2020-10;13,31;13,87;14,04
2020-09;13,58;13,83;14,17
2020-08;12,8;14,18;14,19
2020-07;11,91;14,43;14,27
2020-06;11,14;14,2;14,03
2020-05;10,65;13,69;13,26
2020-04;10,18;13,86;12,64
2020-03;11,82;14,72;13,67
2020-02;13,08;15,97;15,53
2020-01;13,32;16,59;15,99
2019-12;13,38;16,27;15,7
2019-11;12,88;16,2;15,74
2019-10;12,05;16,36;15,73
2019-09;11,86;16,37;15,68
2019-08;12,28;16,02;15,76
2019-07;12,63;15,93;15,98
2019-06;12,34;15,84;15,98
2019-05;12,2;16,59;16,89
2019-04;11,85;16,29;16,48
2019-03;12,11;16,1;15,6
2019-02;11,87;15,91;15,07
2019-01;11,96;15,32;14,65
2018-12;11,88;15,19;14,34
2018-11;11,34;16,14;14,95
2018-10;10,64;16,68;15,89
2018-09;10,85;16,19;16,08
2018-08;10,91;15,97;16,21
2018-07;10,48;15,75;15,95
2018-06;10,43;15,67;15,79
2018-05;10,37;15,82;15,93
2018-04;9,96;15,08;15,23
2018-03;10,71;14,6;14,71
2018-02;10,64;14,36;14,54
2018-01;10,94;14,74;14,86
2017-12;11,16;14,38;14,42
2017-11;11,12;14,36;14,52
2017-10;10,51;13,93;13,92
2017-09;10,99;13,8;14,08
2017-08;11,19;13,48;13,89
2017-07;11,31;13,38;13,79
2017-06;11,39;13,29;13,82
2017-05;11,29;13,67;14,09
2017-04;10,99;13,97;14,34
2017-03;12,01;13,84;14,02
2017-02;12;14,08;14,35
2017-01;11,69;14,06;14,27
2016-12;11,14;13,96;13,99
2016-11;10,67;13,35;13,37
2016-10;10,1;13,51;13,62
2016-09;9,94;12,91;13,24
2016-08;10,31;12,78;13,13
2016-07;11,44;12,81;13,15
2016-06;11,7;13,01;13,55
2016-05;11,18;12,79;13,49
2016-04;10,63;12,24;13,13
2016-03;11,09;12,26;12,74
2016-02;11,53;11,81;12,3
2016-01;11,87;11,76;12,68
2015-12;11,77;11,71;12,44
2015-11;11,08;12,5;12,81
2015-10;10,57;12,47;12,65
2015-09;10,57;12,61;12,92
2015-08;10,74;12,66;13,52
2015-07;10,58;13,2;14,29
2015-06;10,44;13,47;14,29
2015-05;10,37;13,75;14,2
2015-04;10,04;13,61;14,03
2015-03;9,96;13,44;13,63
2015-02;9,53;13,4;13,14
2015-01;9,43;12,63;12,36
2014-12;9,43;12,9;12,64
2014-11;9,9;13,8;13,72
2014-10;9,7;14;14,1
2014-09;9,91;14,4;14,67
2014-08;9,38;14,47;14,62
2014-07;9,39;14,5;14,93
2014-06;9,41;14,47;14,98
2014-05;9,31;14,37;14,72
2014-04;9,29;14,42;14,69
2014-03;9,58;14,25;14,33
2014-02;9,57;14,42;14,33
2014-01;9,66;14,34;14,19
2013-12;10,05;14,62;14,36
2013-11;10,25;14,49;14,29
2013-10;9,68;14,4;14,2
2013-09;9,76;14,7;14,52
2013-08;9,92;14,59;14,78
2013-07;10,15;14,57;14,77
2013-06;10,13;14,24;14,46
2013-05;10,1;14,24;14,48
2013-04;9,76;14,14;14,41
2013-03;10,27;14,41;14,63
2013-02;10,48;14,75;14,88
2013-01;10,58;14,64;14,55
2012-12;10,53;14,44;14,39
2012-11;10,68;14,76;14,51
2012-10;10,49;15,01;14,92
2012-09;10,83;15;15,36
2012-08;10,71;14,84;15,22
2012-07;10,21;14,59;14,87
2012-06;9,74;14,31;14,67
2012-05;9,74;14,85;15,1
2012-04;9,84;15,03;15,6
2012-03;10,51;15,18;15,57
2012-02;10,38;14,89;14,95
2012-01;10,38;14,79;14,62
2011-12;10,34;14,41;14,03
2011-11;10,34;14,62;13,95
2011-10;9,84;14,36;14,14
2011-09;9,84;14,14;14,33
2011-08;9,84;13,88;14,11
2011-07;9,84;14,12;14,38
2011-06;9,84;13,99;14,16
2011-05;9,84;13,97;14,42
2011-04;9,65;14,37;14,5
2011-03;9,99;14,17;14,05
2011-02;9,99;13,62;13,53
2011-01;9,99;13,38;13,45
2010-12;9,99;12,93;13,38
2010-11;9,94;12,5;12,91
2010-10;9,21;12,33;12,74
2010-09;9,14;12,25;12,67
2010-08;9,14;12,33;12,77
2010-07;9,14;12,35;12,88
2010-06;9,14;12,73;13,21
2010-05;9,14;12,68;13,23
2010-04;9,36;12,7;13,33
2010-03;10,13;12,26;13,15
2010-02;9,92;11,97;12,75
2010-01;9,56;11,97;12,67
2009-12;9,59;11,76;12,36
2009-11;9,65;11,75;12,46
2009-10;9,3;11,65;12,25
2009-09;9,59;11,4;12,06
2009-08;9,59;11,74;12,55
2009-07;9,59;11,58;12,43
2009-06;9,59;11,95;12,97
2009-05;9,59;11,23;12,3
2009-04;9,59;11,28;11,79
2009-03;9,89;11,12;11,52
2009-02;9,65;11,11;11,28
2009-01;9,74;11,22;10,73
2008-12;9,59;11,06;10,21
2008-11;9,53;11,98;10,84
2008-10;8,69;12,76;12,02
2008-09;8,79;13,6;13,2
2008-08;8,49;13,62;13,26
2008-07;8,49;14,56;13,68
2008-06;8,39;14,52;13,86
2008-05;8,29;14,27;13,34
2008-04;8,29;13,29;12,79
2008-03;8,89;12,88;12,5
2008-02;8,89;12,5;12,46
2008-01;8,76;12,21;12,32
2007-12;8,59;11,8;12,03
2007-11;8,59;12,02;12,13
2007-10;7,99;11,14;11,63
2007-09;7,99;11;11,68
2007-08;7,99;10,76;11,59
2007-07;7,98;10,68;11,85
2007-06;7,99;10,74;12,06
2007-05;7,89;10,5;12,12
2007-04;7,94;10,76;11,83
2007-03;8,64;10,59;11,48
2007-02;8,64;10,41;10,86
2007-01;8,64;10,13;10,5
2006-12;8,64;10,49;10,72
2006-11;8,64;10,59;10,62
2006-10;8,64;10,79;10,71
2006-09;8,64;11,29;10,95
2006-08;8,63;11,71;12,04
2006-07;8,22;11,61;12,67
2006-06;7,99;11,51;12,24
2006-05;7,99;11,74;12,24
2006-04;7,85;11,74;12,22
2006-03;7,83;11,36;11,57
2006-02;7,83;11,18;11,2
2006-01;7,83;11,23;11,43
